Directory: /home/frank/Downloads/ipcam/all/20181012130618 created
117.104.184.0 117.104.185.255 0
117.105.0.0 117.105.255.255 0
117.120.0.0 117.120.7.255 0
117.121.240.0 117.121.247.255 0
118.27.128.0 118.27.191.255 0
118.27.192.0 118.27.223.255 0
118.103.180.0 118.103.183.255 0
118.107.0.0 118.107.63.255 0
118.107.176.0 118.107.179.255 0
118.139.160.0 118.139.191.255 0
118.189.0.0 118.189.255.255 6
118.200.0.0 118.201.255.255 69
118.214.0.0 118.214.255.255 0
118.215.0.0 118.215.127.255 0
118.215.128.0 118.215.191.255 0
119.31.232.0 119.31.239.255 0
119.42.192.0 119.42.223.255 0
119.56.0.0 119.56.127.255 11
119.73.128.0 119.73.255.255 0
119.74.0.0 119.74.255.255 160
119.75.0.0 119.75.63.255 0
119.75.192.0 119.75.207.255 0
119.81.0.0 119.81.255.255 1
119.161.100.0 119.161.103.255 0
119.234.0.0 119.234.255.255 10
120.50.32.0 120.50.47.255 0
121.6.0.0 121.6.255.255 101
121.7.0.0 121.7.255.255 128
121.52.200.0 121.52.207.255 0
121.100.32.0 121.100.47.255 0
121.200.240.0 121.200.255.255 0
122.11.128.0 122.11.255.255 6
122.248.192.0 122.248.255.255 0
122.252.24.0 122.252.31.255 0
123.49.64.0 123.49.95.255 0
123.49.96.0 123.49.127.255 0
123.100.225.0 123.100.225.255 0
123.100.227.0 123.100.227.255 0
123.100.232.0 123.100.232.255 0
123.100.234.0 123.100.235.255 0
123.100.236.0 123.100.239.255 0
123.100.240.0 123.100.255.255 0
123.136.64.0 123.136.71.255 0
124.6.32.0 124.6.47.255 0
124.6.48.0 124.6.55.255 0
124.6.56.0 124.6.59.255 0
124.6.60.0 124.6.63.255 0
124.66.128.0 124.66.159.255 1
124.108.112.0 124.108.127.255 0
124.109.4.0 124.109.7.255 0
124.155.192.0 124.155.223.255 0
124.156.0.0 124.156.255.255 0
124.197.64.0 124.197.127.255 13
124.246.64.0 124.246.127.255 2
125.56.128.0 125.56.255.255 0
125.252.192.0 125.252.255.255 0
128.106.0.0 128.106.255.255 38
129.126.0.0 129.126.255.255 3
129.226.0.0 129.226.255.255 0
132.147.64.0 132.147.127.255 6
134.42.225.0 134.42.225.255 0
137.132.0.0 137.132.255.255 0
138.75.0.0 138.75.255.255 46
139.59.0.0 139.59.255.255 0
143.192.112.0 143.192.127.255 0
144.48.104.0 144.48.107.255 0
148.66.128.0 148.66.159.255 0
149.129.0.0 149.129.255.255 0
149.234.128.0 149.234.159.255 0
149.234.160.0 149.234.175.255 0
149.234.176.0 149.234.183.255 0
149.234.184.0 149.234.187.255 0
149.234.188.0 149.234.189.255 0
150.95.20.0 150.95.23.255 0
150.95.24.0 150.95.31.255 0
150.95.64.0 150.95.95.255 0
150.95.96.0 150.95.103.255 0
150.107.124.0 150.107.127.255 0
150.107.128.0 150.107.131.255 0
150.107.152.0 150.107.155.255 0
150.109.0.0 150.109.255.255 0
151.146.0.0 151.146.255.255 0
152.102.0.0 152.102.255.255 0
152.226.0.0 152.226.255.255 0
153.20.0.0 153.20.255.255 0
155.69.0.0 155.69.255.255 0
157.120.160.0 157.120.191.255 0
158.140.128.0 158.140.159.255 0
159.138.0.0 159.138.255.255 0
160.20.12.0 160.20.15.255 0
160.32.240.0 160.32.247.255 0
160.96.0.0 160.96.255.255 0
160.202.136.0 160.202.139.255 0
161.117.0.0 161.117.255.255 0
161.126.0.0 161.126.255.255 0
161.229.0.0 161.229.255.255 0
162.62.0.0 162.62.255.255 0
163.44.196.0 163.44.199.255 0
163.44.201.0 163.44.201.255 0
163.44.202.0 163.44.203.255 0
163.47.176.0 163.47.179.255 0
